index	prediction
0	rephrase
1	inference
2	no_rel
3	rephrase
4	inference
5	no_rel
6	rephrase
7	no_rel
8	no_rel
9	rephrase
10	rephrase
11	rephrase
12	rephrase
13	rephrase
14	rephrase
15	rephrase
16	rephrase
17	rephrase
18	no_rel
19	inference
20	rephrase
21	rephrase
22	rephrase
23	rephrase
24	rephrase
25	inference
26	rephrase
27	no_rel
28	rephrase
29	rephrase
30	rephrase
31	rephrase
32	rephrase
33	inference
34	no_rel
35	inference
36	inference
37	no_rel
38	inference
39	rephrase
40	rephrase
41	inference
42	inference
43	inference
44	inference
45	inference
46	rephrase
47	no_rel
48	inference
49	no_rel
50	rephrase
51	rephrase
52	rephrase
53	rephrase
54	rephrase
55	no_rel
56	no_rel
57	inference
58	rephrase
59	rephrase
60	inference
61	rephrase
62	rephrase
63	inference
64	rephrase
65	no_rel
66	rephrase
67	no_rel
68	inference
69	rephrase
70	no_rel
71	no_rel
72	inference
73	inference
74	rephrase
75	rephrase
76	rephrase
77	no_rel
78	no_rel
79	rephrase
80	no_rel
81	rephrase
82	rephrase
83	no_rel
84	rephrase
85	no_rel
86	inference
87	rephrase
88	rephrase
89	rephrase
90	rephrase
91	inference
92	rephrase
93	inference
94	inference
95	inference
96	inference
97	rephrase
98	rephrase
99	inference
100	inference
101	rephrase
102	rephrase
103	no_rel
104	rephrase
105	inference
106	no_rel
107	rephrase
108	rephrase
109	inference
110	inference
111	no_rel
112	no_rel
113	rephrase
114	no_rel
115	inference
116	inference
117	rephrase
118	rephrase
119	rephrase
120	rephrase
121	rephrase
122	rephrase
123	no_rel
124	rephrase
125	rephrase
126	no_rel
127	inference
128	rephrase
129	rephrase
130	rephrase
131	no_rel
132	rephrase
133	rephrase
134	rephrase
135	no_rel
136	no_rel
137	no_rel
138	no_rel
139	no_rel
140	rephrase
141	no_rel
142	no_rel
143	rephrase
144	no_rel
145	no_rel
146	no_rel
147	inference
148	no_rel
149	rephrase
150	rephrase
151	no_rel
152	rephrase
153	no_rel
154	rephrase
155	inference
156	rephrase
157	inference
158	rephrase
159	rephrase
160	rephrase
161	no_rel
162	rephrase
163	rephrase
164	rephrase
165	no_rel
166	no_rel
167	rephrase
168	no_rel
169	rephrase
170	inference
171	rephrase
172	no_rel
173	rephrase
174	no_rel
175	rephrase
176	rephrase
177	rephrase
178	no_rel
179	no_rel
180	inference
181	rephrase
182	no_rel
183	inference
184	rephrase
185	inference
186	no_rel
187	no_rel
188	rephrase
189	rephrase
190	rephrase
191	rephrase
192	rephrase
193	rephrase
194	rephrase
195	rephrase
196	rephrase
197	no_rel
198	inference
199	rephrase
200	inference
201	inference
202	rephrase
203	inference
204	rephrase
205	rephrase
206	inference
207	rephrase
208	no_rel
209	rephrase
210	rephrase
211	no_rel
212	rephrase
213	rephrase
214	rephrase
215	rephrase
216	rephrase
217	rephrase
218	rephrase
219	rephrase
220	no_rel
221	inference
222	no_rel
223	no_rel
224	rephrase
225	no_rel
226	no_rel
227	inference
228	rephrase
229	rephrase
230	no_rel
231	no_rel
232	no_rel
233	rephrase
234	rephrase
235	no_rel
236	rephrase
237	rephrase
238	rephrase
239	rephrase
240	rephrase
241	no_rel
242	rephrase
243	inference
244	rephrase
245	no_rel
246	rephrase
247	no_rel
248	rephrase
249	no_rel
250	rephrase
251	inference
252	rephrase
253	no_rel
254	no_rel
255	rephrase
256	rephrase
257	rephrase
258	rephrase
259	no_rel
260	rephrase
261	rephrase
262	no_rel
263	no_rel
264	inference
265	no_rel
266	rephrase
267	rephrase
268	no_rel
269	rephrase
270	rephrase
271	no_rel
272	rephrase
273	inference
274	rephrase
275	no_rel
276	rephrase
277	no_rel
278	rephrase
279	rephrase
280	no_rel
281	rephrase
282	no_rel
283	rephrase
284	no_rel
285	no_rel
286	inference
287	rephrase
288	no_rel
289	no_rel
290	rephrase
291	no_rel
292	no_rel
293	rephrase
294	inference
295	rephrase
296	rephrase
297	rephrase
298	rephrase
299	rephrase
300	rephrase
301	rephrase
302	inference
303	no_rel
304	rephrase
305	rephrase
306	rephrase
307	rephrase
308	inference
309	no_rel
310	rephrase
311	rephrase
312	inference
313	no_rel
314	inference
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	rephrase
321	rephrase
322	no_rel
323	rephrase
324	rephrase
325	rephrase
326	inference
327	no_rel
328	no_rel
329	inference
330	rephrase
331	no_rel
332	no_rel
333	rephrase
334	rephrase
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	rephrase
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	no_rel
349	rephrase
350	rephrase
351	rephrase
352	rephrase
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	inference
358	rephrase
359	rephrase
360	rephrase
361	rephrase
362	rephrase
363	rephrase
364	inference
365	rephrase
366	inference
367	rephrase
368	no_rel
369	rephrase
370	rephrase
371	rephrase
372	rephrase
373	rephrase
374	rephrase
375	no_rel
376	rephrase
377	rephrase
378	rephrase
379	rephrase
380	rephrase
381	inference
382	rephrase
383	rephrase
384	rephrase
385	rephrase
386	rephrase
387	rephrase
388	rephrase
389	rephrase
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	no_rel
397	inference
398	rephrase
399	rephrase
400	rephrase
401	no_rel
402	rephrase
403	rephrase
404	inference
405	rephrase
406	rephrase
407	rephrase
408	rephrase
409	inference
410	no_rel
411	rephrase
412	rephrase
413	rephrase
414	rephrase
415	inference
416	inference
417	rephrase
418	rephrase
419	rephrase
420	rephrase
421	rephrase
422	rephrase
423	rephrase
424	rephrase
425	rephrase
426	rephrase
427	rephrase
428	rephrase
429	rephrase
430	rephrase
431	rephrase
432	rephrase
433	rephrase
434	rephrase
435	rephrase
436	no_rel
437	rephrase
438	rephrase
439	inference
440	inference
441	rephrase
442	rephrase
443	rephrase
444	rephrase
445	rephrase
446	rephrase
447	rephrase
448	inference
449	rephrase
450	rephrase
451	rephrase
452	rephrase
453	rephrase
454	rephrase
455	rephrase
456	rephrase
457	inference
458	no_rel
459	rephrase
460	inference
461	rephrase
462	no_rel
463	inference
464	rephrase
465	rephrase
466	rephrase
467	rephrase
468	inference
469	inference
470	rephrase
471	rephrase
472	rephrase
473	inference
474	no_rel
475	rephrase
476	inference
477	no_rel
478	inference
479	rephrase
480	rephrase
481	rephrase
482	rephrase
483	inference
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	rephrase
489	rephrase
490	rephrase
491	rephrase
492	no_rel
493	no_rel
494	inference
495	no_rel
496	rephrase
497	rephrase
498	rephrase
499	inference
500	rephrase
501	no_rel
502	rephrase
503	rephrase
504	inference
505	rephrase
506	rephrase
507	rephrase
508	no_rel
509	rephrase
510	rephrase
511	rephrase
512	rephrase
513	no_rel
514	inference
515	rephrase
516	rephrase
517	rephrase
518	rephrase
519	rephrase
520	rephrase
521	rephrase
522	inference
523	inference
524	inference
525	rephrase
526	rephrase
527	rephrase
528	rephrase
529	rephrase
530	rephrase
531	rephrase
532	rephrase
533	inference
534	inference
535	rephrase
536	inference
537	rephrase
538	rephrase
539	rephrase
540	rephrase
541	rephrase
542	rephrase
543	rephrase
544	inference
545	rephrase
546	rephrase
547	rephrase
548	rephrase
549	no_rel
550	rephrase
551	rephrase
552	rephrase
553	rephrase
554	rephrase
555	rephrase
556	no_rel
557	rephrase
558	rephrase
559	rephrase
560	rephrase
561	rephrase
562	rephrase
563	rephrase
564	inference
565	inference
566	rephrase
567	rephrase
568	inference
569	rephrase
570	rephrase
571	rephrase
572	no_rel
573	rephrase
574	rephrase
575	rephrase
576	rephrase
577	no_rel
578	rephrase
579	rephrase
580	rephrase
581	inference
582	rephrase
583	rephrase
584	rephrase
585	rephrase
586	rephrase
587	inference
588	rephrase
589	rephrase
590	rephrase
591	rephrase
592	rephrase
593	rephrase
594	rephrase
595	no_rel
596	rephrase
597	rephrase
598	rephrase
599	rephrase
600	rephrase
601	no_rel
602	inference
603	no_rel
604	no_rel
605	rephrase
606	rephrase
607	inference
608	rephrase
609	rephrase
610	rephrase
611	rephrase
612	inference
613	no_rel
614	rephrase
615	no_rel
616	rephrase
617	rephrase
618	rephrase
619	rephrase
620	no_rel
621	rephrase
622	rephrase
623	rephrase
624	rephrase
625	inference
626	rephrase
627	rephrase
628	rephrase
629	rephrase
630	rephrase
631	rephrase
632	rephrase
633	rephrase
634	rephrase
635	rephrase
636	rephrase
637	rephrase
638	no_rel
639	inference
640	rephrase
641	rephrase
642	rephrase
643	rephrase
644	no_rel
645	no_rel
646	inference
647	rephrase
648	no_rel
649	rephrase
650	inference
651	rephrase
652	rephrase
653	rephrase
654	inference
655	rephrase
656	inference
657	rephrase
658	inference
