index	prediction
0	conflict
1	conflict
2	no_rel
3	conflict
4	conflict
5	no_rel
6	conflict
7	no_rel
8	no_rel
9	conflict
10	rephrase
11	inference
12	conflict
13	inference
14	rephrase
15	inference
16	inference
17	conflict
18	conflict
19	no_rel
20	rephrase
21	conflict
22	rephrase
23	rephrase
24	rephrase
25	inference
26	rephrase
27	no_rel
28	rephrase
29	rephrase
30	rephrase
31	inference
32	conflict
33	inference
34	inference
35	no_rel
36	inference
37	inference
38	inference
39	rephrase
40	inference
41	no_rel
42	inference
43	inference
44	inference
45	no_rel
46	rephrase
47	no_rel
48	inference
49	no_rel
50	rephrase
51	conflict
52	inference
53	conflict
54	conflict
55	conflict
56	inference
57	rephrase
58	rephrase
59	inference
60	inference
61	no_rel
62	no_rel
63	no_rel
64	conflict
65	inference
66	rephrase
67	inference
68	inference
69	conflict
70	inference
71	inference
72	rephrase
73	no_rel
74	conflict
75	conflict
76	conflict
77	inference
78	no_rel
79	inference
80	inference
81	inference
82	rephrase
83	rephrase
84	conflict
85	no_rel
86	conflict
87	conflict
88	rephrase
89	conflict
90	rephrase
91	inference
92	inference
93	no_rel
94	inference
95	inference
96	conflict
97	inference
98	rephrase
99	no_rel
100	no_rel
101	rephrase
102	inference
103	no_rel
104	rephrase
105	no_rel
106	no_rel
107	conflict
108	no_rel
109	inference
110	inference
111	no_rel
112	no_rel
113	rephrase
114	no_rel
115	conflict
116	inference
117	inference
118	rephrase
119	inference
120	rephrase
121	conflict
122	conflict
123	no_rel
124	no_rel
125	rephrase
126	inference
127	inference
128	conflict
129	conflict
130	no_rel
131	inference
132	rephrase
133	rephrase
134	rephrase
135	no_rel
136	inference
137	inference
138	conflict
139	conflict
140	conflict
141	no_rel
142	inference
143	conflict
144	no_rel
145	no_rel
146	inference
147	inference
148	conflict
149	inference
150	conflict
151	no_rel
152	rephrase
153	inference
154	rephrase
155	no_rel
156	rephrase
157	inference
158	conflict
159	conflict
160	inference
161	inference
162	conflict
163	conflict
164	rephrase
165	inference
166	no_rel
167	conflict
168	conflict
169	conflict
170	inference
171	conflict
172	no_rel
173	inference
174	no_rel
175	no_rel
176	conflict
177	rephrase
178	no_rel
179	conflict
180	inference
181	conflict
182	conflict
183	inference
184	inference
185	no_rel
186	inference
187	inference
188	rephrase
189	conflict
190	rephrase
191	inference
192	inference
193	rephrase
194	rephrase
195	inference
196	inference
197	no_rel
198	inference
199	conflict
200	conflict
201	inference
202	inference
203	no_rel
204	conflict
205	inference
206	no_rel
207	conflict
208	no_rel
209	inference
210	conflict
211	no_rel
212	inference
213	rephrase
214	conflict
215	inference
216	rephrase
217	rephrase
218	conflict
219	rephrase
220	no_rel
221	inference
222	inference
223	rephrase
224	rephrase
225	conflict
226	inference
227	no_rel
228	inference
229	conflict
230	no_rel
231	inference
232	conflict
233	rephrase
234	inference
235	conflict
236	conflict
237	rephrase
238	rephrase
239	conflict
240	inference
241	inference
242	no_rel
243	inference
244	rephrase
245	conflict
246	rephrase
247	no_rel
248	conflict
249	no_rel
250	rephrase
251	inference
252	inference
253	inference
254	conflict
255	rephrase
256	inference
257	conflict
258	conflict
259	conflict
260	rephrase
261	conflict
262	no_rel
263	inference
264	conflict
265	no_rel
266	rephrase
267	no_rel
268	conflict
269	rephrase
270	inference
271	inference
272	conflict
273	no_rel
274	conflict
275	conflict
276	rephrase
277	no_rel
278	conflict
279	rephrase
280	no_rel
281	rephrase
282	inference
283	rephrase
284	inference
285	inference
286	no_rel
287	rephrase
288	no_rel
289	no_rel
290	conflict
291	conflict
292	no_rel
293	inference
294	conflict
295	conflict
296	conflict
297	rephrase
298	conflict
299	conflict
300	conflict
301	conflict
302	inference
303	inference
304	conflict
305	conflict
306	inference
307	conflict
308	inference
309	no_rel
310	inference
311	rephrase
312	rephrase
313	inference
314	conflict
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	no_rel
321	inference
322	rephrase
323	rephrase
324	rephrase
325	rephrase
326	inference
327	inference
328	rephrase
329	inference
330	rephrase
331	rephrase
332	rephrase
333	rephrase
334	no_rel
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	inference
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	rephrase
349	rephrase
350	rephrase
351	rephrase
352	rephrase
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	inference
358	rephrase
359	rephrase
360	conflict
361	rephrase
362	rephrase
363	rephrase
364	inference
365	rephrase
366	inference
367	rephrase
368	rephrase
369	inference
370	inference
371	rephrase
372	rephrase
373	rephrase
374	inference
375	no_rel
376	rephrase
377	rephrase
378	rephrase
379	rephrase
380	rephrase
381	rephrase
382	rephrase
383	rephrase
384	rephrase
385	rephrase
386	rephrase
387	inference
388	rephrase
389	rephrase
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	rephrase
397	inference
398	inference
399	rephrase
400	no_rel
401	rephrase
402	rephrase
403	rephrase
404	rephrase
405	rephrase
406	rephrase
407	rephrase
408	inference
409	inference
410	no_rel
411	rephrase
412	rephrase
413	rephrase
414	rephrase
415	inference
416	inference
417	rephrase
418	rephrase
419	inference
420	rephrase
421	conflict
422	rephrase
423	rephrase
424	rephrase
425	rephrase
426	rephrase
427	rephrase
428	no_rel
429	rephrase
430	rephrase
431	rephrase
432	rephrase
433	rephrase
434	rephrase
435	rephrase
436	no_rel
437	rephrase
438	inference
439	rephrase
440	no_rel
441	inference
442	rephrase
443	no_rel
444	rephrase
445	rephrase
446	rephrase
447	inference
448	inference
449	rephrase
450	rephrase
451	rephrase
452	inference
453	rephrase
454	rephrase
455	rephrase
456	rephrase
457	rephrase
458	no_rel
459	inference
460	rephrase
461	rephrase
462	inference
463	no_rel
464	rephrase
465	rephrase
466	rephrase
467	rephrase
468	rephrase
469	inference
470	rephrase
471	rephrase
472	rephrase
473	rephrase
474	inference
475	rephrase
476	conflict
477	no_rel
478	inference
479	rephrase
480	rephrase
481	rephrase
482	rephrase
483	inference
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	rephrase
489	rephrase
490	rephrase
491	no_rel
492	rephrase
493	inference
494	rephrase
495	no_rel
496	inference
497	inference
498	rephrase
499	inference
500	rephrase
501	no_rel
502	rephrase
503	rephrase
504	inference
505	rephrase
506	rephrase
507	rephrase
508	no_rel
509	no_rel
510	rephrase
511	rephrase
512	rephrase
513	inference
514	inference
515	rephrase
516	rephrase
517	inference
518	rephrase
519	inference
520	rephrase
521	rephrase
522	rephrase
523	inference
524	no_rel
525	inference
526	rephrase
527	rephrase
528	rephrase
529	rephrase
530	rephrase
531	rephrase
532	rephrase
533	inference
534	inference
535	rephrase
536	inference
537	rephrase
538	rephrase
539	rephrase
540	rephrase
541	rephrase
542	rephrase
543	inference
544	rephrase
545	rephrase
546	rephrase
547	rephrase
548	rephrase
549	no_rel
550	no_rel
551	inference
552	rephrase
553	rephrase
554	rephrase
555	conflict
556	inference
557	rephrase
558	rephrase
559	rephrase
560	inference
561	rephrase
562	rephrase
563	rephrase
564	inference
565	no_rel
566	rephrase
567	rephrase
568	rephrase
569	rephrase
570	rephrase
571	rephrase
572	conflict
573	rephrase
574	rephrase
575	rephrase
576	rephrase
577	inference
578	rephrase
579	rephrase
580	inference
581	rephrase
582	inference
583	inference
584	rephrase
585	rephrase
586	rephrase
587	inference
588	rephrase
589	rephrase
590	rephrase
591	rephrase
592	rephrase
593	rephrase
594	rephrase
595	no_rel
596	inference
597	rephrase
598	rephrase
599	rephrase
600	inference
601	no_rel
602	inference
603	inference
604	inference
605	rephrase
606	no_rel
607	inference
608	rephrase
609	rephrase
610	rephrase
611	rephrase
612	inference
613	inference
614	inference
615	inference
616	rephrase
617	inference
618	rephrase
619	rephrase
620	inference
621	rephrase
622	conflict
623	rephrase
624	rephrase
625	rephrase
626	rephrase
627	conflict
628	rephrase
629	rephrase
630	rephrase
631	rephrase
632	rephrase
633	rephrase
634	inference
635	inference
636	rephrase
637	rephrase
638	no_rel
639	rephrase
640	rephrase
641	rephrase
642	rephrase
643	rephrase
644	no_rel
645	inference
646	rephrase
647	rephrase
648	inference
649	rephrase
650	inference
651	inference
652	rephrase
