sentence1,sentence2,label
it seems to be the better one to do,"I just think that's a simple choice – recovery, or debate stuff that we've already been debating for the last few years",no_rel
If we are saying that -- my view is it was not handled very well at all,It has to be looked at,inference
One of the clearest distinctions between the two approaches,"it is important to recognize here here that we had a four-nations approach beforehand which veered off path when Boris Johnson decided to, in my opinion, pre-emptively eased lockdown",no_rel
but this isn’t going to happen overnight.,It is a long process.,rephrase
What provision will be put in place for them,There has to be a need for an ongoing scheme of support to assist individuals in that respect,no_rel
what you're referring to there is a number of videos that have been circulated online from both sides,Different wars,rephrase
It is a minor but significant scandal that the SAGE report was leaked out at the last minute after the conclusion of the case,"Although Hugh put his point forcefully, I think it should be emphasised that, really, Hugh and his colleague lost the case essentially on a technicality about the unavailability of sufficient time to determine the matter before the 17 May",no_rel
Yes,the union that we didn't get the vote on,no_rel
we owe it to them to put in the right amount of money,This will not fill that education gap for any schoolchildren or anybody in further education or anything else,no_rel
This virus most likely will stay with us in this guise for the foreseeable future.,I would agree with Lisa on a lot of things. We don’t seem to have a strategy to exit the lockdown in any industry.,inference
It is one of the many things we don’t yet know about the vaccine,"in the trials that the vaccines, you test for how effective they are protecting the individual",no_rel
we were just talking about importing new variants,"ultimately that is in our own interests, in terms of the safety of our own communities",inference
Is this how you thought it would turn out in terms of Northern Ireland,Are you happy with what you see,rephrase
"since at least 8 April, it has been sitting on a report from SAGE saying that hospitality wasn't even responsible",I'm a comedian,no_rel
a lot of people on universal credit are working,the average nurse in the NHS is going to be paying 315 pounds more in her tax,no_rel
we will not be going into a general election with uncosted proposals,we will cost that election,inference
"like many others, I'm often left thinking that the reason why fake news is so effective is that we really don't know enough about the issue",it leaves us quite vulnerable to that manipulation,rephrase
Some of us looked at the assumptions,just because I'm not an epidemiolgist doesn't mean I don't know how to look at a model,no_rel
"As you say, there's been some sort of quarantine centres or interim places to go",I look at what other countries have done,inference
"and those are things we should be very, very proud of in this country",We are just going to lose them,no_rel
"When the truckers crisis blew up, we can't get truckers in, but ballet dancers allowed into this country",I rely more on a trucker and pig farmer than a ballet dancer,inference
I'll tell a crofter and farmer that had to sell up we have a common head of state,Will give them comfort,rephrase
You can see a pattern of behaviour in relation to this government,"Where there are breaches on the face of it on the rules, nothing seems to happen",rephrase
"I would love for us to be able to say, right, that's it, caution to the wind, off we go, job done",It doesn't strike him as fair,no_rel
we need to have a deep conversation about what is the new normal,How are we going to live together the next year,inference
this is an unpalatable prospect,this is a difficult scenario we don't want to be in,rephrase
the Delta variant,there's only one reason it is as rampant as it is across the UK,no_rel
it can’t be kept in the fridge like most normal ones can,that could be an additional logistical challenge,inference
what about in terms of the domestic oil industry,when do you envisage phasing out the domestic oil industry,rephrase
take ownership of them as well,you treat people like adults,inference
What we are building as a first rather than party first,It is a big change to the way things are done,no_rel
I'm not entirely sure that answers the question,"I have given you my best shot to get you to answer, I'm not sure I succeeded",rephrase
