sentence1,sentence2,label
I'd go with that approach it seems to be the better one to do,"I just think that's a simple choice – recovery, or debate stuff that we've already been debating for the last few years",no_rel
"What the government must, must make sure of is that the way the education system was dealt with has to be really addressed properly If we are saying that -- my view is it was not handled very well at all",It has to be looked at,inference
you’ve hit the nail on the head there One of the clearest distinctions between the two approaches,"it is important to recognize here here that we had a four-nations approach beforehand which veered off path when Boris Johnson decided to, in my opinion, pre-emptively eased lockdown",no_rel
"We have a plan, we’re going to do this, we’re going to do it together but this isn’t going to happen overnight.",It is a long process.,rephrase
"What will be, specifically, the provision for the self-employed come to an end in three days What provision will be put in place for them",There has to be a need for an ongoing scheme of support to assist individuals in that respect,no_rel
It adds no value other than to escalate and to polarise what you're referring to there is a number of videos that have been circulated online from both sides,Different wars,rephrase
"In this case, as explained by Hugh, the reality is that we have been driven or at least the government has doggedly and dogmatically been driven by dates, irrespective of the emerging data It is a minor but significant scandal that the SAGE report was leaked out at the last minute after the conclusion of the case","Although Hugh put his point forcefully, I think it should be emphasised that, really, Hugh and his colleague lost the case essentially on a technicality about the unavailability of sufficient time to determine the matter before the 17 May",no_rel
Wales and England were part of the same country at that point Yes,the union that we didn't get the vote on,no_rel
They are going to be left with the tax bill of this we owe it to them to put in the right amount of money,This will not fill that education gap for any schoolchildren or anybody in further education or anything else,no_rel
Private schools have been talking over the last couple of days that they’re going to get their own kind of app going and that they are committed to getting all children back in school by September This virus most likely will stay with us in this guise for the foreseeable future.,I would agree with Lisa on a lot of things. We don’t seem to have a strategy to exit the lockdown in any industry.,inference
The honest truth to that question is we don’t yet know It is one of the many things we don’t yet know about the vaccine,"in the trials that the vaccines, you test for how effective they are protecting the individual",no_rel
There hasn't been enough global cooperation we were just talking about importing new variants,"ultimately that is in our own interests, in terms of the safety of our own communities",inference
I voted for Brexit Is this how you thought it would turn out in terms of Northern Ireland,Are you happy with what you see,rephrase
"It has been hung up on dates since at least 8 April, it has been sitting on a report from SAGE saying that hospitality wasn't even responsible",I'm a comedian,no_rel
many of these people a lot of people on universal credit are working,the average nurse in the NHS is going to be paying 315 pounds more in her tax,no_rel
"Whatever you replace it with, how are you going to find the money we will not be going into a general election with uncosted proposals",we will cost that election,inference
"I was also very upset by some of the propaganda on social media like many others, I'm often left thinking that the reason why fake news is so effective is that we really don't know enough about the issue",it leaves us quite vulnerable to that manipulation,rephrase
that's what modelling is though Some of us looked at the assumptions,just because I'm not an epidemiolgist doesn't mean I don't know how to look at a model,no_rel
"or is Alex right, this is the best we could have done in the circumstances As you say, there's been some sort of quarantine centres or interim places to go",I look at what other countries have done,inference
"But we also have a hospitality industry and we have a live entertainment industry and those are things we should be very, very proud of in this country",We are just going to lose them,no_rel
"It will be controlled When the truckers crisis blew up, we can't get truckers in, but ballet dancers allowed into this country",I rely more on a trucker and pig farmer than a ballet dancer,inference
you can't do a trade deal with anyone I'll tell a crofter and farmer that had to sell up we have a common head of state,Will give them comfort,rephrase
There has been a slow burn on this You can see a pattern of behaviour in relation to this government,"Where there are breaches on the face of it on the rules, nothing seems to happen",rephrase
"in order we can make this the final time I would love for us to be able to say, right, that's it, caution to the wind, off we go, job done",It doesn't strike him as fair,no_rel
It makes people scared to seement face masks we need to have a deep conversation about what is the new normal,How are we going to live together the next year,inference
this is a painful place to be this is an unpalatable prospect,this is a difficult scenario we don't want to be in,rephrase
There's only one reason we are delaying this roadmap the Delta variant,there's only one reason it is as rampant as it is across the UK,no_rel
Also it is a very quick vaccine in the fact it has to be stored at -70C it can’t be kept in the fridge like most normal ones can,that could be an additional logistical challenge,inference
"Whether or not they support me and my party, there was a lot of surprise what about in terms of the domestic oil industry",when do you envisage phasing out the domestic oil industry,rephrase
You have to admit to them take ownership of them as well,you treat people like adults,inference
"The new way of doing things is what I'm doing in Manchester, what Steve Rotherham is building in liberalism What we are building as a first rather than party first",It is a big change to the way things are done,no_rel
At the other end of this crisis we can see that now we don't complain I'm not entirely sure that answers the question,"I have given you my best shot to get you to answer, I'm not sure I succeeded",rephrase
I don't think we ned to completely abandon the hope of trips abroad a little later in the year we have this mixed messaging on the amber list,the government does need to pause and think again with regard to the loosening of international travel,inference
I was surprised by it every woman has the right to feel safe walking around the street of this country any time whatsoever,What happened today and the fear that women feel is not the fault of women,no_rel
"we start to run into Christmas, and also have to deal with all of the issues…other issues that we're currently facing as an industry given the pressures because of the C02 shortage, the HGV driver crisis, we are already seeing prices going up",there are many families that are really going to struggle to make ends meet this Christmas,inference
Do you think hospitality should open now or not I'm getting my information from this government and they are the absolute worse,I don't know,inference
what about men What about gay men,I'm a gay man,no_rel
"One of the key things is you have to plan for this day coming, this referendum we have to make sure that any unity referendum is not like the Brexit referendum and people have a clear, concise knowledge of what it is they are voting for",We need to make sure,rephrase
You are equivocating If you look at the report it highlights a lot of problems,you can't ignore a report that highlights serious problems,rephrase
I do think it is the Conservative Party promoting division amongst us particularly amongst the working class that seem to have lost the pride in being,That's where the identity crisis is,no_rel
"the National Health is a wonderful, wonderful service the people who work there are wonderful, wonderful people who have put their own lives at risk in order to save other lives",Every single one of us pretty much was out on a Thursday night clapping and applauding them,rephrase
"We’ve taken a deliberately cautious approach to easing out of lockdown It is a dreadful disease, it’s taken thousands of extra lives, tens of thousands across the UK, and would have taken many more if we hadn’t imposed lockdown when we did",I simply disagree with Rocco’s characterisation of Covid-19 and its impact,inference
Boris Johnson did what Boris Johnson does for some of those people it will be heat or eat,It struck me to deliver a speech in that fashion on the very day that Universal Credit was coming to an end for a lot of people,inference
Why do you think it is we were conducting since 2014 air operations from bases in support of the Afghan national army,There was no significant pressure against our forces on the ground,no_rel
"today I had a meeting with our oversight group for our test, trace, protect system, and that’s had a very good start to that we’ve got low numbers",we have less than a hundred people each day who are new infections,rephrase
What we really need here is a bit of a long-term plan We have seen what's going on in social care,"It is really great that the Government has now, you know, giving some money towards social care",no_rel
"They’ve also done a lot more to try and get support to children in the meantime so that when children do go back to school, we’re not dealing with this enormous attainment gap",The government promised laptops and internet connections months ago but we’re just still not seeing them delivered around the country,no_rel
if we are to regain a sense of normality and not fall into the pessimism a pessimism whether life is ever going to return to normal,we got so horribly used to that sensation of the goalposts moving,no_rel
the budget has to tackle that I would like to clarify something,I have beauty salons,no_rel
that would bring uncertainty All of these things would play second fiddle to a nationalist government who are only interested in separation,I don't want that uncertainty in Scotland over the next five years,inference
why has it taken the Scottish government as well as the UK government to 15 February when it comes in to do anything about it We are trying to reach an agreement across the four nations,You'll know that not all the powers are devolved to Scotland,inference
It is absolutely clear one has caused the other What the government needs to do now is to put in place alongside the public health measures an economic support measure,business rates relief,rephrase
"When it comes to individuals, take for instance the young cricketer, the 19-year-old, the idiotic person Olly Robinson who tweeted or put stuff out on social media which he has apologised",he has been suspended by the English Cricket Board,inference
This is not a party political issue We're in deep shit,we really are,rephrase
"how are you going to keep those two things going in tandem £16 billion to work with the experts and the people who have trained in oil and gas over decades, to transition to greener forms of renewable energy",the UK government has committed to a transition deal with the oil and gas sector,inference
"the Scottish elections, as everyone will know, are slightly more complicated than ours There's two votes",I would say that actually Scotland is a country that is almost down the middle divided 50 and 50,no_rel
"it's not an option at all at the moment, is it you don't have those powers",the Westminster government won't work with us,no_rel
"Today, in the last 24-hours, over 1,000 people have lost their lives to COVID Now that’s more than every single person who has died in Australia of COVID has died in their entire pandemic",We have lost more than the entire Australian death toll in 24-hours,rephrase
"There seems to be an increasing, very vocal minority in Britain at the moment who seems to think that somehow if a human being in British society is above a certain age or has medical comorbidities it divides British society into two tiers","I, as a doctor, think that is a reprehensible position",inference
They had to keep them in in order to stop the non-tariff barriers being put in place It is ridiculous,"The only upside of all this, and I spoke to the Scottish Fishing Federation yesterday, because the customers are depressed all over Europe but when that customer base comes back it will be dreadful unless it is done now",no_rel
another rule now for everybody else it is safe enough for us to watch a few more friends over to watch the football in our home,"If it is safe enough for Matt Hancock and Michael Gove to be sitting in VIP at Wembley watching the football, I hope they had a delightful time",inference
they were trying to get away from press they didn't like and get away from media coverage they couldn't control And I think that is the point,So you're angry with them,no_rel
"We have a huge amount of potential there I know that workers like yourself would be excited to work in a sustainable industry, an industry that has a long future, an industry that is on the cutting edge","we would welcome you to come and join our industry with us, and let's work together to build a sustainable future for Scotland",rephrase
"that happens to lots of people one of the most common things, anxiety, depression",it is important that we equip our young people,inference
Talk to the coach afterwards Why has the eviction ban with tenants on rent arrears finished when the full restrictions have not been lifted and people have been unable to return to work,in England the coronavirus eviction ban came to an end on Monday,rephrase
For a regime that has come to power through violent means and displaced the government I understand your statement about not wanting to fund the Taliban,we should be getting assistance directly to the Afghan people,no_rel
you will see on fresh fruit and veg which is to your point,they're putting new capital to work for more machinery that can do everything,no_rel
They can ask for a lot more than they could before Average wages have skyrocketed,there are lots of problems with it,no_rel
I do know from our experience at Oxfam about how important transparency is the only way that we have made progress in recent years across the world has been to bring in much higher standards of openness and transparency,"for many people in this country, the hope is that we will come out of this pandemic, you know, this huge shock to our nation, building back fairer",no_rel
there is a requirement for government to be out negotiating trade deals We already do close to 40 billion a year with Australia,we're their fifth largest trading partner,rephrase
Especially against the Delta variant Covid patients are taking up roughly 1% of hospital beds right now,Charlie from the audience is completely right,inference
will you ignore that pro-independence majority Keeping us in the union isn't different,that's more of the same,rephrase
Maybe that needs a looking into Maybe we need to look at that or that needs to be looked at a lot deeper,That's what I would suggest,rephrase
"listening to the inputs that have been received What worries me is that with that single point of contact is this then the innovation that has had more people on trains than in any other time in the last century with the innovation, the creativity, will that all be lost because ministers, because government, because Whitehall run the trains",So you're seeing that potentially as the dead hand of the state are you,no_rel
"If there was a pub that wasn’t playing music would you be happy to go there I would be comfortable to go into a pub that was quiet, well-ventilated and you could keep your distance from people",This is an industry that is on its knees,conflict
In additional welfare    spending because of their utility bills,"As we headed up to Manchester, Hassan, we are an extra half a billion for those families and individuals who will find it hard this winter",inference
this was announced today there is going to be a consultation on going wider to the NHS,I think the starting point with this issue isn't whose rights are more important,no_rel
"She blocked the person and she said she wouldn't tolerate it Credit where it's due, that's the leader of Borders Council and I was really impressed","Heather, what, if any, further protections",no_rel
you isolate them as a special group it's quite divisive,"I would be looking of course at how we can get the economy started again as quickly as possible, with less of the caution as exhibited by the politicians here",no_rel
"I think a lot of the remarks, I think, are on the money when it comes to the fact that rather than focusing upon icons and statues, actions speak far louder than words Vaughan has made the point about the criminal justice system",I have responsibility for that in England and Wales,inference
"To give the kind of examples of the competition, there are 30 R&A companies around the world This is the particular technology that Pfizer used",It is a new technology that’s at a tipping point,rephrase
we need to solve the fundamental sickness in society that men have We need to change attitudes,"When I was a Minister for Children and Families, we brought in both relationship education at primary school, as compulsory and sex and relationship education at secondary school as compulsory as well and we did a lot of really deep thinking, hard work and consultation for that bit of the curriculum",no_rel
it does have to be focused around the people being cared for it is very difficult,You do have to make a priority choice,inference
"I work in the emergency department We receives the Pfiz vaccine, the first dose",I would like to ask about the vaccination schedule for healthcare workers,inference
"now the indirect effect of the lockdown, nobody can quantify the lockdown should be eased as quickly as possible in a safe way",people are now aware of the risks,no_rel
I agree with some of the panel there when we were talking about the two-tier system I feel very uncomfortable about people not being able to afford testing,there's one rule for the rich,no_rel
"would you be prepared to give up your vaccine, say, Camilla, for another country as a healthcare worker, I've had mine",I can't say that,inference
She is right Do you want to make a statement or make a difference and she is talking about making a difference,Bravo to your point,rephrase
"It cannot be one rule for Boris Johnson, and something for the rest of us this scandal won't go away",we do need everything out in the open,inference
"other than that, there was no economic basis in leaving the EU the tide is turning",this is just showing that,inference
"it is a tragedy for the hospitality industry and the wider creative industry, destinations, that we're in the situation we are in now I wish the government had been driven by data throughout this crisis",they had,rephrase
We are the largest in Scotland and part of the supply chain to hotels and restaurants The rules are slightly different in Scotland than England.,In Scotland we are allowed to serve food inside with no alcohol up until 8 p.m,no_rel
"the evidence shows that with support, more women and men as well, can carry through their complaints through to proper investigation and prosecution That is what I want to see happen",That's what I'm going to work towards over the next few years,rephrase
"Benjamin, would a Labour defeat be a final nail in the coffin for the party No, that's a long way off",it would just be kind of representative of the decline,conflict
We've since found out why it turned out that he was on holiday as the Taliban advanced,don't make the mistake of thinking just because some of us recognise this is a complex and difficult situation that all of us need to own up to some level of responsibility,inference
"That can't be right This is a kind of Colonial relationship where some independent countries have a hold over the sources of another now sovereign, independent country",the reason fishing is such a small percentage of our economy is because it has been decimated,inference
"the way you know, any great challenge is tackled is there's been the huge amount of analysis to work out how big the problem is it is indeed much larger than perhaps was initially understood",There's an ongoing challenge,rephrase
"no regulatory authority, whether it is the UK be medicines regulatory authority or the European Regulatory Authority or the FDA will let anything go through that doesn’t have a totally squeaky clean safety record people completely forget is that a vaccine stimulates your immune system, it tricks it to see if it has seen the virus",you are getting an aspect of a viral infection that’s so much minor than the real virus,rephrase
"Jo Cox's sister that's really, really important","there's that particular area, that particular part of the world is not far from where I am, there's a lot of discontent, a lot of disillusionment, a lot of discord between the communities",no_rel
full credit to Minister Zahawi for the vaccine programme why would we endanger that by actually having open movement of individuals in and out when we still have a lot of people unvaccinated,we still have a new variant that we don't fully understand in terms of immune protection,no_rel
"So he was wrong there He’s not right, is he",The the point we made Northern Ireland businesses will have unfettered access as part of the UK,no_rel
they don't have an absolute majority the Scottish Greens have indicated that they're in favour of a referendum,Very strongly,rephrase
What the Government has thus far offered has been a mixture of grants and loans some of them preceding very slowly isn't enough to meet that,it's gots to cough up the cash,inference
Why isn’t the government matching that level of progress and that level of ambition You know what needs to be done,"I have mentored black people in business, black people in the civil service",no_rel
but I would just again say find a good balance with also the teachers and take the heat out of it. The only way this can be solved is by being pragmatic,"Claire, what do you think of what you have heard?",no_rel
Let's be clear about this There is racism in the British media,There are racists in the British media,no_rel
18 months and the Prime Minister has not done a single thing about it you're serious about defending the integrity of our democracy,"instead of making it harder for people here to have an influence over the outcome of our democratic elections, you really should be making it harder for people overseas, including foreign donors, to influence the integrity of our electoral systems",inference
The Labour Party is very good at telling us what it doesn't like It's very good at telling us what the divisions are in our country,What it's useless at is actually coming up with prescriptions,conflict
try and find a solution in the next two or three months we really could be in a terrible situation,"Mike, you’ve had your hand up from the start",no_rel
the left hand doesn't really know what the right hand's doing on this I love the idea of normal life and we aren't living a normal life,What is normal life,no_rel
"We're talking a minimum five years before anything could change, and even then it likely might not. I think it is appalling, the level of betrayal,","actually, that has happened in that industry.",no_rel
