id,L_node_1,L_node_2,I_node_1,I_node_2,context_L_node,context_I_node,prop_rel
803470,She has called on him to apologise to Keir Starmer,she's mistaken,Munira Mirza has called on Boris Johnson to apologise to Keir Starmer,Munira Mirza is mistaken in calling on Boris Johnson to apologise to Keir Starmer,I haven't had the chance to read the letter,Crispin Blunt hasn't had the chance to read the letter,conflict
803566,This Government is not doing enough,I think the measures are as well targeted as they reasonably can be,this Government is not doing enough,Crispin Blunt thinks the measures are as well targeted as they reasonably can be,I'm seeing toddlers coming in Zoe with scalds over their bodies because water bottles have burst because their families cannot pay the bills.,Rosena Allin-Khan is seeing toddlers coming in Zoe with scalds over their bodies because water bottles have burst because their families cannot pay the bills.,conflict
803615,Yes,that money will be clawed back,"yes, the measures are not targeted",that money will be clawed back,Are you happen that's 200 pounds off bills for everybody,"Crispin Blunt is or is not sure the government's measures of 200 pounds off bills, are for everybody",conflict
803649,"Hopefully, this is a shock to the system for a relatively short period before the gas prices come down to something that's more normal",We don't know that yet,"hopefully, this is a shock to the system for a relatively short period before the gas prices come down to something that's more normal",we don't know that the prices will become more normal yet,We are in a position where we are going to have to learn to absorb this cost of energy,we are in a position where we are going to have to learn to absorb this cost of energy,conflict
803795,that was a time of the past,"now in A&E, when I am doing my shifts, I am seeing the elderly coming in with electric burns from the same sort of heater",time with the electric heaters was a time of the past,"now in A&E, when Rosena Allin-Khan is doing her shifts, she is seeing the elderly coming in with electric burns from the same sort of heater",as a child who grew up in a home of just one electric heater,Rosena Allin-Khan is a child who grew up in a home of just one electric heater,conflict
804060,It sounds incredibly moving if you have got people,It's the truth,it sounds incredibly moving if you have got people,it's the truth that Rosena Allin-Khan took iPads to the bedside of dying people,I completely understand why you have done it,Crispin Blunt completely understand why Rosena Allin-Khan has aligned three different things,conflict
805464,The Government's proposal to support us during this at a time in which the average bill will rise by 700 pounds is to give 150 pounds back via Council tax which is good,"to give us 200 pounds which, and this is the small print, we have to pay back so you might call the Government's strategy of dealing with the problem which has been exacerbated by Government as socialism with a miserly face where the Government takes your money, gives it back to you then asks you to return it",the Government's proposal to support us during this at a time in which the average bill will rise by 700 pounds is to give 150 pounds back via Council tax is good,"the Government gives us 200 pounds which, and this is the small print, we have to pay back so you might call the Government's strategy of dealing with the problem which has been exacerbated by Government as socialism with a miserly face where the Government takes your money, gives it back to you then asks you to return it","the levying of green and other social levies which are added on to your bills, something like 20% right now of your bill is those levies which have been applied by the Government","the levying of green and other social levies which are added on to your bills, something like 20% right now of your bill is those levies which have been applied by the Government",conflict
805706,they will say if we do that we take away from investments,I'm prepared to take the risk,the energy producers will say if we do that we take away from investments,Victor Adebowale is prepared to take the risk,Let's ask some of the energy producers to actually dip into the profits and share it with the poorest,let's ask some of the energy producers to actually dip into the profits and share it with the poorest,conflict
805799,we have our own oil and gas rather than import it from Eastern Europe,The Government did embark on that then pulled back,we have our own oil and gas rather than import it from Eastern Europe,The Government did embark on that then pulled back,start investing in shell gas,it is time the Government start investing in shell gas,conflict
806116,They have to reverse ferret in front of those very staff who have built their trust,It's not the way to do this,the Government has to reverse ferret in front of those very staff who have built their trust,reverse ferret in front of those very staff who have built their trust is not the way to do this,the Government has taken a step-back,the Government has taken a step-back,conflict
