sentence1,sentence2,label
Ryan Unknown would go with doing a Scottish independence vote straight after the election doing a Scottish independence vote straight after the election seems to be the better one to do,"Ryan Unknown just thinks that's a simple choice – recovery, or debate stuff that we've already been debating for the last few years",no_rel
what the government must make sure of is that the way the education system was dealt with has to be really addressed properly if we are saying that -- my view is the education was not handled very well at all,the way the education system was dealt with has to be looked at,inference
Audience Member Susan hit the nail on the head when saying it comes down to the amount of communication from the two governments which results in higher opinion poll numbers amount of communication is one of the clearest distinctions between the approaches of the Scottish and English governments,it is important to recognize here that we had a four-nations approach beforehand which veered off path when Boris Johnson decided to pre-emptively eased lockdown,no_rel
"we have a plan, we are going to do this, we are going to do it together this isn’t going to happen overnight",vaccination is a long process,rephrase
"specifically, the provision for the self-employed come to an end in three days will be xxx the provision that will be put in place for them is xxx",there has to be a need for an ongoing scheme of support to assist individuals in that respect,no_rel
fake news adds no value other than to escalate and to polarise what Harriet Green is referring to is there is a number of videos that have been circulated online from both sides,videos that have been circulated online from both sides have been showing violence that actually was during different wars,rephrase
"in this case, as explained by Hugh Osmond, the reality is that we have been driven or at least the government has doggedly and dogmatically been driven by dates, irrespective of the emerging data it is a minor but significant scandal that the SAGE report was leaked out at the last minute after the conclusion of the case","although Hugh Osmond put his point forcefully, John Bercow thinks it should be emphasised that, really, Hugh Osmond and his colleague lost the case essentially on a technicality about the unavailability of sufficient time to determine the matter before the 17 May",no_rel
Wales and England were part of the same country when the Union Jack was designed Wales and England were part of the same country when the Union Jack was designed,the union that Wales didn't get the vote on,no_rel
this generation is going to be left with the tax bill of this we owe it to this generation to put in the right amount of money,the extra funding will not fill that education gap for any schoolchildren or anybody in further education or anything else,no_rel
private schools have been talking over the last couple of days that they’re going to get their own kind of app going and that they are committed to getting all children back in school by September the corona virus most likely will stay with us in its guise for the foreseeable future,Steve Parish would agree with Lisa Nandy that we don’t seem to have a strategy to exit the lockdown in any industry,inference
the honest truth to the question 'how many people need to be vaccinated for it to be succesful' is we do not yet know how many people that need vaccinated for the vaccine to succeed is one of the many things we don’t yet know about the vaccine,"in the trials that the vaccines, you test for how effective they are protecting the individual",no_rel
there hasn't been enough global cooperation we were just talking about importing new variants,"ultimately global co-operation is in our own interests, in terms of the safety of our own communities",inference
