index	prediction
0	conflict
1	no_rel
2	conflict
3	conflict
4	no_rel
5	no_rel
6	rephrase
7	no_rel
8	no_rel
9	inference
10	conflict
11	rephrase
12	conflict
13	rephrase
14	rephrase
15	inference
16	no_rel
17	conflict
18	rephrase
19	no_rel
20	conflict
21	conflict
22	conflict
23	no_rel
24	inference
25	inference
26	conflict
27	no_rel
28	rephrase
29	no_rel
30	rephrase
31	no_rel
32	no_rel
33	inference
34	no_rel
35	no_rel
36	no_rel
37	no_rel
38	inference
39	conflict
40	no_rel
41	no_rel
42	no_rel
43	inference
44	no_rel
45	no_rel
46	rephrase
47	no_rel
48	no_rel
49	no_rel
50	rephrase
51	no_rel
52	inference
53	no_rel
54	conflict
55	conflict
56	inference
57	inference
58	no_rel
59	rephrase
60	inference
61	inference
62	inference
63	inference
64	conflict
65	no_rel
66	rephrase
67	no_rel
68	no_rel
69	inference
70	inference
71	inference
72	inference
73	no_rel
74	conflict
75	conflict
76	no_rel
77	no_rel
78	no_rel
79	no_rel
80	rephrase
81	conflict
82	rephrase
83	rephrase
84	conflict
85	no_rel
86	conflict
87	inference
88	conflict
89	conflict
90	conflict
91	inference
92	rephrase
93	no_rel
94	inference
95	no_rel
96	no_rel
97	inference
98	inference
99	no_rel
100	inference
101	rephrase
102	conflict
103	no_rel
104	no_rel
105	rephrase
106	conflict
107	inference
108	no_rel
109	no_rel
110	no_rel
111	no_rel
112	no_rel
113	rephrase
114	no_rel
115	conflict
116	conflict
117	conflict
118	conflict
119	rephrase
120	rephrase
121	conflict
122	no_rel
123	no_rel
124	inference
125	conflict
126	inference
127	inference
128	conflict
129	conflict
130	no_rel
131	no_rel
132	rephrase
133	rephrase
134	inference
135	no_rel
136	no_rel
137	no_rel
138	conflict
139	conflict
140	conflict
141	no_rel
142	no_rel
143	conflict
144	no_rel
145	no_rel
146	no_rel
147	no_rel
148	conflict
149	rephrase
150	conflict
151	no_rel
152	rephrase
153	no_rel
154	rephrase
155	conflict
156	no_rel
157	inference
158	inference
159	conflict
160	inference
161	no_rel
162	conflict
163	conflict
164	rephrase
165	no_rel
166	no_rel
167	no_rel
168	conflict
169	conflict
170	inference
171	rephrase
172	conflict
173	rephrase
174	no_rel
175	conflict
176	conflict
177	conflict
178	no_rel
179	no_rel
180	no_rel
181	conflict
182	no_rel
183	inference
184	rephrase
185	conflict
186	no_rel
187	no_rel
188	rephrase
189	conflict
190	conflict
191	conflict
192	no_rel
193	conflict
194	rephrase
195	no_rel
196	no_rel
197	no_rel
198	inference
199	conflict
200	no_rel
201	inference
202	inference
203	no_rel
204	conflict
205	no_rel
206	no_rel
207	conflict
208	no_rel
209	inference
210	rephrase
211	no_rel
212	inference
213	rephrase
214	no_rel
215	inference
216	rephrase
217	rephrase
218	no_rel
219	rephrase
220	no_rel
221	rephrase
222	no_rel
223	no_rel
224	rephrase
225	no_rel
226	no_rel
227	conflict
228	rephrase
229	no_rel
230	inference
231	no_rel
232	conflict
233	no_rel
234	no_rel
235	no_rel
236	conflict
237	no_rel
238	rephrase
239	conflict
240	rephrase
241	no_rel
242	no_rel
243	inference
244	rephrase
245	conflict
246	rephrase
247	no_rel
248	conflict
249	no_rel
250	rephrase
251	no_rel
252	no_rel
253	rephrase
254	no_rel
255	rephrase
256	no_rel
257	conflict
258	inference
259	no_rel
260	no_rel
261	conflict
262	no_rel
263	no_rel
264	no_rel
265	no_rel
266	inference
267	no_rel
268	no_rel
269	no_rel
270	no_rel
271	no_rel
272	conflict
273	rephrase
274	conflict
275	no_rel
276	rephrase
277	no_rel
278	conflict
279	rephrase
280	no_rel
281	conflict
282	inference
283	conflict
284	no_rel
285	inference
286	no_rel
287	rephrase
288	no_rel
289	no_rel
290	conflict
291	no_rel
292	no_rel
293	inference
294	conflict
295	conflict
296	no_rel
297	no_rel
298	conflict
299	rephrase
300	conflict
301	conflict
302	inference
303	no_rel
304	conflict
305	conflict
306	no_rel
307	no_rel
308	no_rel
309	no_rel
310	conflict
311	rephrase
312	rephrase
313	no_rel
314	conflict
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	rephrase
321	no_rel
322	rephrase
323	rephrase
324	no_rel
325	no_rel
326	inference
327	inference
328	rephrase
329	inference
330	rephrase
331	no_rel
332	no_rel
333	rephrase
334	no_rel
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	inference
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	rephrase
349	no_rel
350	rephrase
351	rephrase
352	rephrase
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	no_rel
358	rephrase
359	rephrase
360	rephrase
361	rephrase
362	no_rel
363	rephrase
364	inference
365	rephrase
366	inference
367	rephrase
368	no_rel
369	no_rel
370	rephrase
371	rephrase
372	rephrase
373	rephrase
374	inference
375	no_rel
376	rephrase
377	rephrase
378	no_rel
379	rephrase
380	rephrase
381	rephrase
382	rephrase
383	rephrase
384	rephrase
385	inference
386	inference
387	rephrase
388	rephrase
389	rephrase
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	rephrase
397	rephrase
398	rephrase
399	no_rel
400	no_rel
401	no_rel
402	rephrase
403	inference
404	inference
405	rephrase
406	rephrase
407	rephrase
408	no_rel
409	no_rel
410	no_rel
411	rephrase
412	rephrase
413	no_rel
414	no_rel
415	no_rel
416	no_rel
417	inference
418	inference
419	inference
420	rephrase
421	conflict
422	rephrase
423	rephrase
424	rephrase
425	rephrase
426	rephrase
427	rephrase
428	conflict
429	rephrase
430	no_rel
431	rephrase
432	rephrase
433	rephrase
434	rephrase
435	rephrase
436	no_rel
437	rephrase
438	no_rel
439	no_rel
440	no_rel
441	inference
442	rephrase
443	no_rel
444	rephrase
445	no_rel
446	rephrase
447	rephrase
448	inference
449	rephrase
450	rephrase
451	rephrase
452	inference
453	inference
454	inference
455	rephrase
456	rephrase
457	inference
458	rephrase
459	inference
460	rephrase
461	rephrase
462	no_rel
463	no_rel
464	no_rel
465	inference
466	rephrase
467	no_rel
468	rephrase
469	inference
470	conflict
471	no_rel
472	rephrase
473	rephrase
474	inference
475	rephrase
476	no_rel
477	no_rel
478	no_rel
479	rephrase
480	no_rel
481	conflict
482	inference
483	inference
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	rephrase
489	rephrase
490	no_rel
491	no_rel
492	no_rel
493	inference
494	rephrase
495	no_rel
496	rephrase
497	inference
498	rephrase
499	inference
500	rephrase
501	no_rel
502	inference
503	rephrase
504	inference
505	no_rel
506	rephrase
507	no_rel
508	no_rel
509	no_rel
510	rephrase
511	rephrase
512	rephrase
513	inference
514	inference
515	rephrase
516	rephrase
517	no_rel
518	rephrase
519	no_rel
520	rephrase
521	rephrase
522	no_rel
523	inference
524	conflict
525	inference
526	rephrase
527	rephrase
528	rephrase
529	rephrase
530	rephrase
531	rephrase
532	rephrase
533	inference
534	no_rel
535	rephrase
536	inference
537	rephrase
538	rephrase
539	rephrase
540	rephrase
541	rephrase
542	rephrase
543	rephrase
544	no_rel
545	rephrase
546	rephrase
547	no_rel
548	rephrase
549	no_rel
550	no_rel
551	rephrase
552	no_rel
553	rephrase
554	rephrase
555	conflict
556	no_rel
557	rephrase
