index	prediction
0	conflict
1	no_rel
2	conflict
3	conflict
4	inference
5	inference
6	rephrase
7	no_rel
8	inference
9	rephrase
10	rephrase
11	rephrase
12	conflict
13	conflict
14	conflict
15	conflict
16	no_rel
17	conflict
18	conflict
19	conflict
20	conflict
21	conflict
22	conflict
23	rephrase
24	rephrase
25	rephrase
26	rephrase
27	no_rel
28	rephrase
29	rephrase
30	rephrase
31	conflict
32	no_rel
33	inference
34	no_rel
35	no_rel
36	no_rel
37	inference
38	inference
39	conflict
40	conflict
41	inference
42	inference
43	inference
44	no_rel
45	inference
46	conflict
47	no_rel
48	no_rel
49	inference
50	rephrase
51	conflict
52	inference
53	rephrase
54	conflict
55	conflict
56	inference
57	inference
58	conflict
59	rephrase
60	inference
61	inference
62	inference
63	inference
64	conflict
65	no_rel
66	rephrase
67	no_rel
68	no_rel
69	rephrase
70	inference
71	inference
72	inference
73	no_rel
74	inference
75	conflict
76	rephrase
77	no_rel
78	no_rel
79	inference
80	inference
81	inference
82	inference
83	no_rel
84	conflict
85	no_rel
86	conflict
87	conflict
88	conflict
89	conflict
90	conflict
91	inference
92	inference
93	inference
94	inference
95	inference
96	conflict
97	inference
98	rephrase
99	no_rel
100	no_rel
101	conflict
102	inference
103	no_rel
104	rephrase
105	no_rel
106	conflict
107	conflict
108	no_rel
109	inference
110	no_rel
111	no_rel
112	no_rel
113	rephrase
114	no_rel
115	conflict
116	inference
117	conflict
118	inference
119	inference
120	rephrase
121	conflict
122	conflict
123	no_rel
124	conflict
125	inference
126	inference
127	conflict
128	conflict
129	conflict
130	no_rel
131	no_rel
132	rephrase
133	rephrase
134	rephrase
135	no_rel
136	inference
137	inference
138	conflict
139	no_rel
140	conflict
141	no_rel
142	no_rel
143	conflict
144	no_rel
145	no_rel
146	no_rel
147	no_rel
148	inference
149	rephrase
150	rephrase
151	inference
152	rephrase
153	no_rel
154	no_rel
155	conflict
156	rephrase
157	inference
158	inference
159	conflict
160	inference
161	inference
162	conflict
163	no_rel
164	rephrase
165	no_rel
166	inference
167	conflict
168	conflict
169	inference
170	conflict
171	conflict
172	conflict
173	no_rel
174	no_rel
175	conflict
176	rephrase
177	conflict
178	no_rel
179	no_rel
180	no_rel
181	conflict
182	conflict
183	inference
184	rephrase
185	conflict
186	no_rel
187	no_rel
188	rephrase
189	conflict
190	conflict
191	inference
192	inference
193	conflict
194	conflict
195	inference
196	inference
197	no_rel
198	inference
199	conflict
200	no_rel
201	inference
202	inference
203	inference
204	conflict
205	conflict
206	no_rel
207	conflict
208	no_rel
209	inference
210	conflict
211	no_rel
212	conflict
213	rephrase
214	conflict
215	inference
216	conflict
217	rephrase
218	inference
219	rephrase
220	no_rel
221	inference
222	no_rel
223	no_rel
224	rephrase
225	conflict
226	inference
227	conflict
228	rephrase
229	conflict
230	inference
231	no_rel
232	no_rel
233	no_rel
234	inference
235	conflict
236	conflict
237	rephrase
238	rephrase
239	conflict
240	rephrase
241	no_rel
242	no_rel
243	inference
244	inference
245	conflict
246	rephrase
247	no_rel
248	conflict
249	no_rel
250	rephrase
251	no_rel
252	conflict
253	rephrase
254	conflict
255	rephrase
256	inference
257	conflict
258	conflict
259	no_rel
260	rephrase
261	conflict
262	no_rel
263	inference
264	no_rel
265	no_rel
266	conflict
267	no_rel
268	no_rel
269	rephrase
270	no_rel
271	no_rel
272	conflict
273	inference
274	conflict
275	no_rel
276	rephrase
277	no_rel
278	inference
279	rephrase
280	no_rel
281	rephrase
282	inference
283	rephrase
284	no_rel
285	inference
286	no_rel
287	rephrase
288	no_rel
289	conflict
290	no_rel
291	no_rel
292	no_rel
293	conflict
294	conflict
295	conflict
296	no_rel
297	rephrase
298	rephrase
299	conflict
300	conflict
301	conflict
302	no_rel
303	inference
304	conflict
305	rephrase
306	rephrase
307	conflict
308	inference
309	no_rel
310	inference
311	rephrase
312	inference
313	no_rel
314	conflict
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	rephrase
321	rephrase
322	rephrase
323	rephrase
324	rephrase
325	rephrase
326	inference
327	inference
328	no_rel
329	inference
330	rephrase
331	rephrase
332	no_rel
333	rephrase
334	inference
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	inference
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	no_rel
349	rephrase
350	rephrase
351	rephrase
352	inference
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	no_rel
358	rephrase
359	rephrase
360	conflict
361	rephrase
362	rephrase
363	rephrase
364	inference
365	rephrase
366	inference
367	rephrase
368	rephrase
369	inference
370	inference
371	rephrase
372	rephrase
373	rephrase
374	rephrase
375	rephrase
376	rephrase
377	no_rel
378	rephrase
379	rephrase
380	rephrase
381	rephrase
382	rephrase
383	rephrase
384	rephrase
385	rephrase
386	rephrase
387	inference
388	rephrase
389	rephrase
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	rephrase
397	rephrase
398	inference
399	rephrase
400	no_rel
401	no_rel
402	rephrase
403	inference
404	inference
405	rephrase
406	rephrase
407	rephrase
408	no_rel
409	no_rel
410	no_rel
411	rephrase
412	rephrase
413	rephrase
414	rephrase
415	inference
416	rephrase
417	rephrase
418	rephrase
419	rephrase
420	rephrase
421	conflict
422	rephrase
423	rephrase
424	rephrase
425	rephrase
426	rephrase
427	rephrase
428	conflict
429	rephrase
430	rephrase
431	rephrase
432	rephrase
433	rephrase
434	rephrase
435	rephrase
436	inference
437	inference
438	rephrase
439	no_rel
440	no_rel
441	inference
442	rephrase
443	no_rel
444	rephrase
445	rephrase
446	rephrase
447	inference
448	rephrase
449	rephrase
450	rephrase
451	rephrase
452	inference
453	rephrase
454	rephrase
455	rephrase
456	rephrase
457	no_rel
458	no_rel
459	rephrase
460	rephrase
461	rephrase
462	no_rel
463	inference
464	rephrase
465	inference
466	rephrase
467	rephrase
468	rephrase
469	inference
470	rephrase
471	rephrase
472	rephrase
473	rephrase
474	no_rel
475	rephrase
476	rephrase
477	no_rel
478	inference
479	rephrase
480	rephrase
481	rephrase
482	rephrase
483	inference
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	inference
489	rephrase
490	rephrase
491	rephrase
492	no_rel
493	inference
494	inference
495	inference
496	inference
497	rephrase
498	rephrase
499	rephrase
500	rephrase
501	no_rel
502	rephrase
503	rephrase
504	inference
505	no_rel
506	rephrase
507	inference
508	no_rel
509	rephrase
510	rephrase
511	rephrase
512	rephrase
513	inference
514	rephrase
515	rephrase
516	rephrase
517	inference
518	rephrase
519	inference
520	rephrase
521	rephrase
522	rephrase
523	inference
524	no_rel
525	rephrase
526	rephrase
527	rephrase
528	rephrase
529	rephrase
530	rephrase
531	rephrase
532	rephrase
533	inference
534	inference
535	rephrase
536	inference
537	rephrase
538	inference
539	rephrase
540	inference
541	rephrase
542	rephrase
543	inference
544	inference
545	rephrase
546	rephrase
547	rephrase
548	rephrase
549	no_rel
550	rephrase
551	rephrase
552	no_rel
553	rephrase
554	rephrase
555	conflict
556	inference
557	rephrase
558	rephrase
559	rephrase
560	inference
561	rephrase
562	rephrase
563	rephrase
564	inference
565	rephrase
566	rephrase
567	rephrase
568	inference
569	rephrase
570	rephrase
