index	prediction
0	no_rel
1	no_rel
2	inference
3	rephrase
4	no_rel
5	no_rel
6	inference
7	no_rel
8	no_rel
9	rephrase
10	rephrase
11	rephrase
12	rephrase
13	inference
14	rephrase
15	rephrase
16	rephrase
17	rephrase
18	rephrase
19	inference
20	rephrase
21	rephrase
22	rephrase
23	rephrase
24	rephrase
25	rephrase
26	rephrase
27	no_rel
28	rephrase
29	rephrase
30	rephrase
31	inference
32	rephrase
33	inference
34	inference
35	no_rel
36	inference
37	inference
38	inference
39	rephrase
40	rephrase
41	inference
42	inference
43	rephrase
44	inference
45	inference
46	rephrase
47	no_rel
48	inference
49	rephrase
50	rephrase
51	rephrase
52	rephrase
53	inference
54	rephrase
55	no_rel
56	no_rel
57	rephrase
58	rephrase
59	rephrase
60	inference
61	rephrase
62	rephrase
63	inference
64	rephrase
65	no_rel
66	no_rel
67	inference
68	no_rel
69	rephrase
70	inference
71	inference
72	inference
73	inference
74	rephrase
75	rephrase
76	rephrase
77	inference
78	no_rel
79	rephrase
80	no_rel
81	rephrase
82	rephrase
83	no_rel
84	inference
85	inference
86	rephrase
87	inference
88	rephrase
89	rephrase
90	rephrase
91	inference
92	inference
93	no_rel
94	inference
95	inference
96	inference
97	rephrase
98	rephrase
99	no_rel
100	inference
101	rephrase
102	rephrase
103	no_rel
104	rephrase
105	rephrase
106	no_rel
107	rephrase
108	rephrase
109	inference
110	inference
111	no_rel
112	inference
113	rephrase
114	rephrase
115	inference
116	inference
117	inference
118	rephrase
119	inference
120	rephrase
121	rephrase
122	rephrase
123	no_rel
124	rephrase
125	rephrase
126	inference
127	rephrase
128	rephrase
129	rephrase
130	rephrase
131	inference
132	rephrase
133	rephrase
134	rephrase
135	no_rel
136	no_rel
137	no_rel
138	no_rel
139	no_rel
140	rephrase
141	no_rel
142	no_rel
143	rephrase
144	no_rel
145	no_rel
146	inference
147	rephrase
148	no_rel
149	rephrase
150	rephrase
151	no_rel
152	rephrase
153	no_rel
154	rephrase
155	no_rel
156	rephrase
157	rephrase
158	rephrase
159	rephrase
160	inference
161	inference
162	inference
163	rephrase
164	rephrase
165	no_rel
166	no_rel
167	rephrase
168	rephrase
169	rephrase
170	inference
171	rephrase
172	inference
173	rephrase
174	no_rel
175	rephrase
176	rephrase
177	rephrase
178	no_rel
179	no_rel
180	rephrase
181	rephrase
182	no_rel
183	inference
184	rephrase
185	inference
186	no_rel
187	rephrase
188	rephrase
189	rephrase
190	rephrase
191	inference
192	rephrase
193	rephrase
194	rephrase
195	rephrase
196	rephrase
197	inference
198	no_rel
199	rephrase
200	no_rel
201	no_rel
202	rephrase
203	no_rel
204	rephrase
205	rephrase
206	no_rel
207	rephrase
208	no_rel
209	rephrase
210	rephrase
211	no_rel
212	rephrase
213	rephrase
214	inference
215	inference
216	rephrase
217	rephrase
218	inference
219	rephrase
220	no_rel
221	inference
222	no_rel
223	no_rel
224	rephrase
225	no_rel
226	inference
227	inference
228	rephrase
229	rephrase
230	no_rel
231	no_rel
232	no_rel
233	rephrase
234	rephrase
235	no_rel
236	rephrase
237	rephrase
238	rephrase
239	rephrase
240	rephrase
241	no_rel
242	rephrase
243	inference
244	rephrase
245	no_rel
246	rephrase
247	no_rel
248	rephrase
249	no_rel
250	rephrase
251	inference
252	inference
253	no_rel
254	no_rel
255	rephrase
256	rephrase
257	rephrase
258	rephrase
259	no_rel
260	rephrase
261	rephrase
262	no_rel
263	inference
264	rephrase
265	no_rel
266	rephrase
267	rephrase
268	no_rel
269	rephrase
270	no_rel
271	no_rel
272	rephrase
273	inference
274	rephrase
275	inference
276	rephrase
277	no_rel
278	rephrase
279	inference
280	inference
281	rephrase
282	no_rel
283	rephrase
284	no_rel
285	no_rel
286	rephrase
287	rephrase
288	no_rel
289	no_rel
290	rephrase
291	no_rel
292	no_rel
293	rephrase
294	inference
295	rephrase
296	inference
297	rephrase
298	rephrase
299	rephrase
300	rephrase
301	rephrase
302	inference
303	inference
304	rephrase
305	rephrase
306	rephrase
307	no_rel
308	inference
309	no_rel
310	rephrase
311	rephrase
312	rephrase
313	no_rel
314	no_rel
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	rephrase
321	rephrase
322	no_rel
323	rephrase
324	rephrase
325	rephrase
326	inference
327	rephrase
328	rephrase
329	inference
330	rephrase
331	rephrase
332	no_rel
333	rephrase
334	no_rel
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	rephrase
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	rephrase
349	rephrase
350	rephrase
351	rephrase
352	rephrase
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	rephrase
358	rephrase
359	rephrase
360	rephrase
361	rephrase
362	rephrase
363	rephrase
364	inference
365	rephrase
366	no_rel
367	rephrase
368	inference
369	inference
370	inference
371	rephrase
372	rephrase
373	rephrase
374	inference
375	no_rel
376	rephrase
377	rephrase
378	rephrase
379	rephrase
380	rephrase
381	rephrase
382	rephrase
383	rephrase
384	rephrase
385	rephrase
386	rephrase
387	rephrase
388	rephrase
389	rephrase
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	inference
397	inference
398	rephrase
399	rephrase
400	rephrase
401	no_rel
402	rephrase
403	rephrase
404	rephrase
405	rephrase
406	rephrase
407	rephrase
408	inference
409	rephrase
410	inference
411	rephrase
412	rephrase
413	inference
414	rephrase
415	inference
416	inference
417	rephrase
418	rephrase
419	rephrase
420	rephrase
421	rephrase
422	rephrase
423	rephrase
424	rephrase
425	rephrase
426	rephrase
427	rephrase
428	rephrase
429	rephrase
430	rephrase
431	rephrase
432	rephrase
433	rephrase
434	rephrase
435	rephrase
436	no_rel
437	rephrase
438	rephrase
439	rephrase
440	no_rel
441	rephrase
442	rephrase
443	rephrase
444	rephrase
445	rephrase
446	rephrase
447	rephrase
448	inference
449	rephrase
450	rephrase
451	rephrase
452	rephrase
453	rephrase
454	rephrase
455	rephrase
456	rephrase
457	rephrase
458	no_rel
459	rephrase
460	rephrase
461	rephrase
462	no_rel
463	no_rel
464	rephrase
465	rephrase
466	rephrase
467	rephrase
468	inference
469	inference
470	rephrase
471	rephrase
472	rephrase
473	rephrase
474	no_rel
475	rephrase
476	rephrase
477	no_rel
478	rephrase
479	rephrase
480	no_rel
481	rephrase
482	rephrase
483	rephrase
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	rephrase
489	rephrase
490	no_rel
491	rephrase
492	no_rel
493	inference
494	no_rel
495	no_rel
496	inference
497	rephrase
498	rephrase
499	inference
500	rephrase
501	no_rel
502	rephrase
503	rephrase
504	no_rel
505	rephrase
506	rephrase
507	rephrase
508	no_rel
509	rephrase
510	rephrase
511	rephrase
512	rephrase
513	inference
514	inference
515	no_rel
516	rephrase
517	rephrase
518	rephrase
519	rephrase
520	rephrase
521	rephrase
522	rephrase
523	inference
524	no_rel
525	rephrase
526	rephrase
527	rephrase
528	rephrase
529	rephrase
530	rephrase
531	rephrase
532	rephrase
533	rephrase
534	inference
535	rephrase
536	inference
537	rephrase
538	rephrase
539	rephrase
540	rephrase
541	rephrase
542	rephrase
543	rephrase
544	rephrase
545	rephrase
546	rephrase
547	rephrase
548	rephrase
549	no_rel
550	no_rel
551	rephrase
552	rephrase
553	rephrase
554	rephrase
555	inference
556	inference
557	rephrase
558	rephrase
559	rephrase
560	rephrase
561	rephrase
562	rephrase
563	rephrase
564	inference
565	inference
566	rephrase
567	rephrase
568	inference
569	rephrase
570	rephrase
571	rephrase
572	rephrase
573	inference
574	rephrase
575	rephrase
576	rephrase
577	no_rel
578	rephrase
579	rephrase
580	rephrase
581	inference
582	rephrase
583	rephrase
584	rephrase
585	rephrase
586	rephrase
587	inference
588	rephrase
589	rephrase
590	rephrase
591	rephrase
592	rephrase
593	rephrase
594	rephrase
595	no_rel
596	rephrase
597	rephrase
598	rephrase
599	rephrase
600	rephrase
601	no_rel
602	inference
603	no_rel
604	no_rel
605	rephrase
606	no_rel
607	rephrase
608	rephrase
609	rephrase
610	rephrase
611	rephrase
612	rephrase
613	inference
614	rephrase
615	inference
616	rephrase
617	rephrase
618	rephrase
619	rephrase
620	inference
621	rephrase
622	rephrase
623	rephrase
624	rephrase
625	rephrase
626	rephrase
627	inference
628	rephrase
629	rephrase
630	rephrase
631	rephrase
632	rephrase
633	rephrase
634	rephrase
635	rephrase
636	rephrase
637	rephrase
638	no_rel
639	rephrase
640	rephrase
641	rephrase
642	rephrase
643	no_rel
644	no_rel
645	no_rel
646	rephrase
647	rephrase
648	no_rel
649	rephrase
650	rephrase
651	rephrase
652	rephrase
653	rephrase
654	inference
655	rephrase
656	inference
657	rephrase
658	inference
659	rephrase
660	inference
661	rephrase
662	rephrase
663	no_rel
664	rephrase
665	no_rel
666	rephrase
667	rephrase
668	rephrase
669	rephrase
670	rephrase
671	rephrase
672	rephrase
673	rephrase
674	rephrase
675	rephrase
676	rephrase
677	rephrase
678	inference
679	no_rel
680	rephrase
681	rephrase
682	rephrase
683	rephrase
684	inference
685	rephrase
686	rephrase
687	rephrase
688	no_rel
689	rephrase
690	rephrase
691	rephrase
692	rephrase
693	inference
694	rephrase
695	inference
696	no_rel
697	no_rel
698	rephrase
699	rephrase
700	inference
701	rephrase
702	rephrase
703	rephrase
704	rephrase
705	inference
706	rephrase
707	rephrase
708	rephrase
709	inference
710	rephrase
711	rephrase
712	rephrase
713	rephrase
714	rephrase
715	no_rel
716	rephrase
717	rephrase
718	rephrase
719	rephrase
720	rephrase
721	rephrase
722	rephrase
723	rephrase
724	rephrase
725	rephrase
726	rephrase
727	rephrase
728	rephrase
729	rephrase
730	rephrase
731	rephrase
732	rephrase
733	rephrase
734	rephrase
735	rephrase
736	rephrase
737	inference
738	rephrase
739	inference
740	inference
741	rephrase
742	rephrase
743	rephrase
744	rephrase
745	rephrase
746	rephrase
747	rephrase
748	rephrase
749	rephrase
750	rephrase
751	rephrase
752	inference
753	rephrase
754	rephrase
755	inference
756	rephrase
757	rephrase
758	rephrase
759	rephrase
760	rephrase
761	rephrase
762	rephrase
763	rephrase
764	rephrase
765	rephrase
766	rephrase
767	inference
768	rephrase
769	rephrase
770	rephrase
771	rephrase
772	rephrase
773	inference
774	rephrase
775	inference
776	inference
777	no_rel
778	rephrase
779	rephrase
780	inference
781	no_rel
782	rephrase
783	inference
784	inference
785	no_rel
786	inference
787	rephrase
788	inference
789	no_rel
790	no_rel
791	rephrase
792	rephrase
793	rephrase
794	rephrase
795	inference
796	rephrase
797	rephrase
798	rephrase
799	rephrase
800	rephrase
801	rephrase
802	rephrase
803	rephrase
804	rephrase
805	rephrase
806	rephrase
807	rephrase
808	rephrase
809	inference
810	rephrase
811	rephrase
812	rephrase
813	inference
814	rephrase
815	rephrase
816	rephrase
817	inference
818	rephrase
819	rephrase
820	inference
821	no_rel
822	rephrase
823	no_rel
824	rephrase
825	rephrase
826	rephrase
827	rephrase
828	rephrase
829	no_rel
830	rephrase
831	rephrase
832	rephrase
833	rephrase
834	rephrase
835	rephrase
836	no_rel
837	no_rel
838	rephrase
839	rephrase
840	rephrase
841	rephrase
842	rephrase
843	rephrase
844	rephrase
845	rephrase
846	rephrase
847	rephrase
848	no_rel
849	rephrase
850	rephrase
851	rephrase
852	rephrase
853	rephrase
854	inference
855	inference
856	inference
857	rephrase
858	no_rel
859	rephrase
860	rephrase
861	rephrase
862	rephrase
863	rephrase
864	rephrase
865	rephrase
866	rephrase
867	rephrase
868	no_rel
869	rephrase
870	rephrase
871	rephrase
872	rephrase
873	rephrase
874	rephrase
875	rephrase
876	rephrase
877	rephrase
878	no_rel
879	no_rel
880	no_rel
881	inference
882	inference
883	rephrase
884	rephrase
885	inference
886	rephrase
887	inference
888	rephrase
889	rephrase
890	inference
891	rephrase
892	rephrase
893	rephrase
894	rephrase
895	rephrase
896	no_rel
897	rephrase
898	rephrase
899	rephrase
900	inference
901	rephrase
902	inference
903	rephrase
904	inference
905	rephrase
906	rephrase
907	rephrase
908	rephrase
909	no_rel
910	rephrase
911	rephrase
912	rephrase
913	rephrase
914	rephrase
915	rephrase
916	rephrase
917	rephrase
918	rephrase
919	rephrase
920	rephrase
921	rephrase
922	rephrase
923	rephrase
924	no_rel
925	inference
926	rephrase
927	rephrase
928	rephrase
929	rephrase
930	rephrase
931	inference
932	inference
933	rephrase
934	rephrase
935	rephrase
936	rephrase
937	rephrase
938	no_rel
939	inference
940	no_rel
941	no_rel
942	no_rel
943	inference
944	rephrase
945	rephrase
946	rephrase
947	rephrase
948	rephrase
949	rephrase
950	rephrase
951	rephrase
952	rephrase
953	rephrase
954	rephrase
955	rephrase
956	rephrase
957	no_rel
958	rephrase
959	rephrase
960	rephrase
961	rephrase
962	inference
963	rephrase
964	rephrase
965	rephrase
966	rephrase
967	rephrase
968	rephrase
969	rephrase
970	inference
971	inference
972	rephrase
973	rephrase
974	rephrase
975	no_rel
976	inference
977	rephrase
978	rephrase
979	rephrase
980	rephrase
981	inference
982	rephrase
983	rephrase
984	rephrase
985	rephrase
986	rephrase
987	rephrase
988	rephrase
989	rephrase
990	no_rel
991	inference
992	rephrase
993	rephrase
994	rephrase
995	no_rel
996	rephrase
997	rephrase
998	rephrase
999	rephrase
1000	rephrase
1001	rephrase
1002	rephrase
1003	no_rel
1004	rephrase
1005	rephrase
1006	inference
1007	no_rel
1008	rephrase
1009	inference
1010	rephrase
1011	rephrase
1012	rephrase
1013	rephrase
1014	rephrase
1015	rephrase
1016	rephrase
1017	rephrase
1018	rephrase
1019	inference
1020	no_rel
1021	inference
1022	inference
1023	rephrase
1024	rephrase
1025	rephrase
1026	rephrase
1027	inference
1028	rephrase
1029	rephrase
1030	rephrase
1031	rephrase
1032	rephrase
1033	rephrase
1034	inference
1035	rephrase
1036	rephrase
1037	no_rel
1038	rephrase
1039	rephrase
1040	rephrase
1041	rephrase
1042	rephrase
1043	rephrase
1044	rephrase
1045	rephrase
1046	rephrase
1047	rephrase
1048	rephrase
