index	prediction
0	no_rel
1	inference
2	no_rel
3	rephrase
4	inference
5	rephrase
6	rephrase
7	inference
8	no_rel
9	rephrase
10	rephrase
11	rephrase
12	no_rel
13	rephrase
14	rephrase
15	rephrase
16	rephrase
17	rephrase
18	rephrase
19	inference
20	rephrase
21	rephrase
22	rephrase
23	rephrase
24	inference
25	rephrase
26	rephrase
27	inference
28	rephrase
29	rephrase
30	rephrase
31	inference
32	rephrase
33	inference
34	inference
35	no_rel
36	no_rel
37	inference
38	inference
39	rephrase
40	rephrase
41	no_rel
42	inference
43	inference
44	inference
45	inference
46	rephrase
47	no_rel
48	no_rel
49	no_rel
50	rephrase
51	rephrase
52	rephrase
53	rephrase
54	rephrase
55	no_rel
56	inference
57	rephrase
58	inference
59	rephrase
60	rephrase
61	inference
62	rephrase
63	rephrase
64	rephrase
65	no_rel
66	rephrase
67	no_rel
68	no_rel
69	inference
70	inference
71	no_rel
72	inference
73	inference
74	rephrase
75	inference
76	rephrase
77	no_rel
78	no_rel
79	rephrase
80	rephrase
81	rephrase
82	rephrase
83	no_rel
84	rephrase
85	inference
86	no_rel
87	rephrase
88	rephrase
89	rephrase
90	rephrase
91	inference
92	rephrase
93	inference
94	inference
95	inference
96	inference
97	rephrase
98	rephrase
99	no_rel
100	inference
101	rephrase
102	rephrase
103	no_rel
104	rephrase
105	rephrase
106	no_rel
107	rephrase
108	rephrase
109	inference
110	inference
111	inference
112	inference
113	rephrase
114	rephrase
115	inference
116	no_rel
117	rephrase
118	rephrase
119	rephrase
120	rephrase
121	rephrase
122	inference
123	no_rel
124	rephrase
125	rephrase
126	rephrase
127	no_rel
128	rephrase
129	no_rel
130	inference
131	inference
132	rephrase
133	rephrase
134	rephrase
135	no_rel
136	inference
137	inference
138	rephrase
139	no_rel
140	inference
141	no_rel
142	no_rel
143	rephrase
144	no_rel
145	no_rel
146	inference
147	rephrase
148	rephrase
149	rephrase
150	rephrase
151	no_rel
152	no_rel
153	inference
154	rephrase
155	rephrase
156	no_rel
157	inference
158	inference
159	rephrase
160	inference
161	inference
162	no_rel
163	rephrase
164	rephrase
165	no_rel
166	no_rel
167	no_rel
168	rephrase
169	no_rel
170	rephrase
171	rephrase
172	rephrase
173	rephrase
174	no_rel
175	rephrase
176	rephrase
177	rephrase
178	no_rel
179	rephrase
180	no_rel
181	rephrase
182	no_rel
183	inference
184	rephrase
185	rephrase
186	no_rel
187	inference
188	rephrase
189	rephrase
190	rephrase
191	inference
192	rephrase
193	rephrase
194	rephrase
195	inference
196	rephrase
197	no_rel
198	inference
199	rephrase
200	rephrase
201	rephrase
202	rephrase
203	rephrase
204	rephrase
205	no_rel
206	rephrase
207	rephrase
208	no_rel
209	rephrase
210	rephrase
211	no_rel
212	no_rel
213	rephrase
214	rephrase
215	rephrase
216	rephrase
217	rephrase
218	rephrase
219	rephrase
220	no_rel
221	rephrase
222	rephrase
223	no_rel
224	rephrase
225	no_rel
226	no_rel
227	rephrase
228	rephrase
229	inference
230	no_rel
231	no_rel
232	no_rel
233	rephrase
234	rephrase
235	no_rel
236	rephrase
237	rephrase
238	rephrase
239	rephrase
240	rephrase
241	inference
242	rephrase
243	inference
244	rephrase
245	no_rel
246	rephrase
247	no_rel
248	rephrase
249	no_rel
250	rephrase
251	inference
252	no_rel
253	no_rel
254	no_rel
255	rephrase
256	rephrase
257	rephrase
258	rephrase
259	no_rel
260	rephrase
261	rephrase
262	inference
263	no_rel
264	rephrase
265	no_rel
266	rephrase
267	inference
268	no_rel
269	rephrase
270	no_rel
271	no_rel
272	rephrase
273	rephrase
274	rephrase
275	no_rel
276	rephrase
277	inference
278	inference
279	rephrase
280	inference
281	rephrase
282	no_rel
283	rephrase
284	no_rel
285	no_rel
286	rephrase
287	rephrase
288	no_rel
289	no_rel
290	rephrase
291	inference
292	no_rel
293	rephrase
294	rephrase
295	inference
296	rephrase
297	no_rel
298	rephrase
299	rephrase
300	rephrase
301	rephrase
302	inference
303	inference
304	inference
305	rephrase
306	rephrase
307	inference
308	no_rel
309	no_rel
310	rephrase
311	rephrase
312	rephrase
313	no_rel
314	rephrase
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	rephrase
321	rephrase
322	rephrase
323	rephrase
324	rephrase
325	rephrase
326	rephrase
327	inference
328	rephrase
329	rephrase
330	rephrase
331	inference
332	no_rel
333	inference
334	rephrase
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	rephrase
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	rephrase
349	inference
350	rephrase
351	rephrase
352	rephrase
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	inference
358	rephrase
359	rephrase
360	rephrase
361	rephrase
362	inference
363	rephrase
364	rephrase
365	rephrase
366	rephrase
367	rephrase
368	rephrase
369	inference
370	rephrase
371	rephrase
372	rephrase
373	rephrase
374	inference
375	no_rel
376	rephrase
377	rephrase
378	no_rel
379	rephrase
380	rephrase
381	rephrase
382	rephrase
383	rephrase
384	rephrase
385	rephrase
386	rephrase
387	rephrase
388	rephrase
389	rephrase
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	rephrase
397	rephrase
398	rephrase
399	no_rel
400	rephrase
401	no_rel
402	rephrase
403	rephrase
404	rephrase
405	rephrase
406	rephrase
407	no_rel
408	no_rel
409	no_rel
410	rephrase
411	rephrase
412	rephrase
413	inference
414	rephrase
415	inference
416	no_rel
417	rephrase
418	rephrase
419	rephrase
420	rephrase
421	rephrase
422	rephrase
423	rephrase
424	rephrase
425	rephrase
426	rephrase
427	rephrase
428	rephrase
429	rephrase
430	rephrase
431	rephrase
432	rephrase
433	no_rel
434	rephrase
435	rephrase
436	rephrase
437	rephrase
438	inference
439	inference
440	rephrase
441	rephrase
442	rephrase
443	rephrase
444	rephrase
445	no_rel
446	rephrase
447	rephrase
448	inference
449	rephrase
450	rephrase
451	rephrase
452	rephrase
453	inference
454	rephrase
455	rephrase
456	rephrase
457	rephrase
458	rephrase
459	rephrase
460	rephrase
461	rephrase
462	inference
463	no_rel
464	rephrase
465	inference
466	rephrase
467	no_rel
468	rephrase
469	inference
470	rephrase
471	no_rel
472	rephrase
473	rephrase
474	inference
475	rephrase
476	rephrase
477	no_rel
478	rephrase
479	rephrase
480	inference
481	rephrase
482	inference
483	rephrase
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	rephrase
489	rephrase
490	no_rel
491	rephrase
492	no_rel
493	inference
494	rephrase
495	no_rel
496	rephrase
497	rephrase
498	rephrase
499	rephrase
500	rephrase
501	inference
502	rephrase
503	rephrase
504	rephrase
505	rephrase
506	rephrase
507	inference
508	no_rel
509	rephrase
510	rephrase
511	rephrase
512	rephrase
513	inference
514	inference
515	no_rel
516	rephrase
517	rephrase
518	rephrase
519	inference
520	rephrase
521	rephrase
522	no_rel
523	inference
524	rephrase
525	rephrase
526	rephrase
527	rephrase
528	rephrase
529	rephrase
530	rephrase
531	rephrase
532	rephrase
533	rephrase
534	inference
535	rephrase
536	no_rel
537	rephrase
538	rephrase
