index	prediction
0	conflict
1	no_rel
2	rephrase
3	conflict
4	no_rel
5	no_rel
6	rephrase
7	no_rel
8	rephrase
9	inference
10	conflict
11	rephrase
12	conflict
13	rephrase
14	rephrase
15	no_rel
16	no_rel
17	conflict
18	rephrase
19	no_rel
20	conflict
21	conflict
22	conflict
23	rephrase
24	no_rel
25	inference
26	rephrase
27	conflict
28	rephrase
29	rephrase
30	rephrase
31	conflict
32	no_rel
33	inference
34	inference
35	no_rel
36	inference
37	no_rel
38	inference
39	inference
40	conflict
41	no_rel
42	no_rel
43	no_rel
44	no_rel
45	inference
46	rephrase
47	conflict
48	no_rel
49	no_rel
50	inference
51	no_rel
52	inference
53	inference
54	conflict
55	conflict
56	no_rel
57	inference
58	inference
59	rephrase
60	inference
61	inference
62	inference
63	inference
64	conflict
65	no_rel
66	rephrase
67	no_rel
68	inference
69	conflict
70	inference
71	inference
72	inference
73	no_rel
74	conflict
75	conflict
76	inference
77	no_rel
78	no_rel
79	inference
80	inference
81	inference
82	no_rel
83	no_rel
84	conflict
85	rephrase
86	conflict
87	no_rel
88	conflict
89	rephrase
90	rephrase
91	inference
92	inference
93	conflict
94	no_rel
95	inference
96	conflict
97	inference
98	rephrase
99	no_rel
100	inference
101	rephrase
102	conflict
103	no_rel
104	rephrase
105	no_rel
106	no_rel
107	inference
108	inference
109	inference
110	inference
111	conflict
112	no_rel
113	rephrase
114	no_rel
115	conflict
116	inference
117	conflict
118	inference
119	inference
120	conflict
121	conflict
122	inference
123	no_rel
124	inference
125	conflict
126	inference
127	conflict
128	conflict
129	conflict
130	inference
131	inference
132	rephrase
133	rephrase
134	rephrase
135	conflict
136	inference
137	inference
138	conflict
139	no_rel
140	conflict
141	no_rel
142	no_rel
143	conflict
144	inference
145	no_rel
146	no_rel
147	no_rel
148	conflict
149	rephrase
150	conflict
151	no_rel
152	rephrase
153	no_rel
154	rephrase
155	no_rel
156	inference
157	inference
158	inference
159	conflict
160	inference
161	no_rel
162	no_rel
163	no_rel
164	inference
165	no_rel
166	no_rel
167	no_rel
168	conflict
169	conflict
170	conflict
171	conflict
172	inference
173	rephrase
174	no_rel
175	conflict
176	conflict
177	no_rel
178	no_rel
179	conflict
180	no_rel
181	conflict
182	no_rel
183	inference
184	no_rel
185	conflict
186	no_rel
187	no_rel
188	rephrase
189	conflict
190	conflict
191	conflict
192	no_rel
193	conflict
194	rephrase
195	inference
196	inference
197	no_rel
198	inference
199	rephrase
200	conflict
201	no_rel
202	inference
203	no_rel
204	conflict
205	conflict
206	no_rel
207	conflict
208	no_rel
209	inference
210	inference
211	no_rel
212	inference
213	rephrase
214	conflict
215	inference
216	rephrase
217	rephrase
218	conflict
219	rephrase
220	no_rel
221	rephrase
222	inference
223	no_rel
224	rephrase
225	no_rel
226	no_rel
227	conflict
228	rephrase
229	inference
230	inference
231	no_rel
232	conflict
233	no_rel
234	inference
235	conflict
236	conflict
237	conflict
238	rephrase
239	conflict
240	rephrase
241	inference
242	no_rel
243	inference
244	rephrase
245	conflict
246	rephrase
247	no_rel
248	conflict
249	no_rel
250	rephrase
251	no_rel
252	inference
253	rephrase
254	no_rel
255	rephrase
256	rephrase
257	conflict
258	conflict
259	conflict
260	inference
261	conflict
262	inference
263	no_rel
264	no_rel
265	no_rel
266	inference
267	no_rel
268	no_rel
269	no_rel
270	no_rel
271	conflict
272	conflict
273	rephrase
274	conflict
275	conflict
276	rephrase
277	no_rel
278	inference
279	rephrase
280	no_rel
281	no_rel
282	no_rel
283	conflict
284	no_rel
285	inference
286	no_rel
287	rephrase
288	no_rel
289	no_rel
290	conflict
291	no_rel
292	no_rel
293	conflict
294	conflict
295	conflict
296	no_rel
297	no_rel
298	rephrase
299	rephrase
300	conflict
301	conflict
302	inference
303	inference
304	no_rel
305	conflict
306	conflict
307	no_rel
308	no_rel
309	no_rel
310	inference
311	rephrase
312	rephrase
313	no_rel
314	conflict
315	rephrase
316	rephrase
317	rephrase
318	rephrase
319	rephrase
320	rephrase
321	no_rel
322	rephrase
323	rephrase
324	inference
325	no_rel
326	inference
327	inference
328	rephrase
329	rephrase
330	rephrase
331	rephrase
332	no_rel
333	rephrase
334	inference
335	rephrase
336	rephrase
337	rephrase
338	rephrase
339	inference
340	rephrase
341	inference
342	rephrase
343	rephrase
344	rephrase
345	rephrase
346	rephrase
347	rephrase
348	conflict
349	no_rel
350	rephrase
351	rephrase
352	rephrase
353	rephrase
354	rephrase
355	rephrase
356	rephrase
357	inference
358	rephrase
359	rephrase
360	conflict
361	rephrase
362	inference
363	rephrase
364	inference
365	rephrase
366	no_rel
367	rephrase
368	inference
369	no_rel
370	rephrase
371	rephrase
372	rephrase
373	rephrase
374	inference
375	no_rel
376	rephrase
377	rephrase
378	inference
379	rephrase
380	rephrase
381	no_rel
382	inference
383	rephrase
384	rephrase
385	inference
386	inference
387	rephrase
388	rephrase
389	inference
390	rephrase
391	rephrase
392	rephrase
393	rephrase
394	rephrase
395	rephrase
396	rephrase
397	rephrase
398	rephrase
399	no_rel
400	inference
401	rephrase
402	rephrase
403	inference
404	rephrase
405	rephrase
406	rephrase
407	no_rel
408	no_rel
409	inference
410	no_rel
411	rephrase
412	rephrase
413	no_rel
414	no_rel
415	no_rel
416	inference
417	rephrase
418	inference
419	inference
420	rephrase
421	conflict
422	rephrase
423	rephrase
424	inference
425	rephrase
426	inference
427	rephrase
428	no_rel
429	rephrase
430	no_rel
431	rephrase
432	rephrase
433	rephrase
434	rephrase
435	rephrase
436	inference
437	rephrase
438	no_rel
439	no_rel
440	no_rel
441	inference
442	rephrase
443	inference
444	inference
445	rephrase
446	rephrase
447	rephrase
448	inference
449	rephrase
450	rephrase
451	rephrase
452	inference
453	inference
454	inference
455	rephrase
456	rephrase
457	rephrase
458	no_rel
459	rephrase
460	no_rel
461	rephrase
462	inference
463	no_rel
464	inference
465	rephrase
466	inference
467	no_rel
468	rephrase
469	no_rel
470	inference
471	no_rel
472	inference
473	rephrase
474	no_rel
475	rephrase
476	rephrase
477	no_rel
478	rephrase
479	rephrase
480	rephrase
481	no_rel
482	inference
483	rephrase
484	rephrase
485	rephrase
486	rephrase
487	rephrase
488	rephrase
489	rephrase
490	no_rel
491	no_rel
492	no_rel
493	no_rel
494	rephrase
495	no_rel
496	rephrase
497	rephrase
498	rephrase
499	inference
500	rephrase
501	conflict
502	rephrase
503	rephrase
504	inference
505	no_rel
506	no_rel
507	inference
508	no_rel
509	no_rel
510	rephrase
511	rephrase
512	rephrase
513	inference
514	rephrase
515	rephrase
516	rephrase
517	rephrase
518	rephrase
519	rephrase
520	rephrase
521	rephrase
522	no_rel
523	inference
524	no_rel
525	no_rel
526	rephrase
527	rephrase
528	rephrase
529	inference
530	rephrase
531	rephrase
532	rephrase
533	inference
534	inference
535	rephrase
536	inference
537	inference
538	rephrase
539	rephrase
540	rephrase
541	rephrase
542	rephrase
543	rephrase
544	inference
545	rephrase
546	rephrase
547	inference
548	rephrase
549	no_rel
550	rephrase
551	rephrase
552	rephrase
553	rephrase
554	rephrase
555	conflict
556	rephrase
557	rephrase
558	rephrase
559	inference
560	inference
561	rephrase
562	rephrase
563	no_rel
564	inference
565	conflict
566	inference
567	rephrase
568	rephrase
569	rephrase
570	rephrase
